iter	Passed	Remaining
702	1244	525
703	1246	524
704	1248	522
705	1251	520
706	1253	519
707	1255	517
708	1257	516
709	1259	514
710	1261	512
711	1263	511
712	1265	509
713	1267	507
714	1269	506
715	1271	504
716	1273	502
717	1275	501
718	1277	499
719	1279	497
720	1281	496
721	1283	494
722	1285	492
723	1287	490
724	1289	488
725	1290	487
726	1292	485
727	1294	483
728	1296	482
729	1298	480
730	1300	478
731	1303	477
732	1304	475
733	1306	473
734	1309	471
735	1311	470
736	1312	468
737	1314	466
738	1316	464
739	1318	463
740	1320	461
741	1322	459
742	1324	458
743	1326	456
744	1328	454
745	1330	452
746	1332	451
747	1333	449
748	1335	447
749	1337	445
750	1339	444
751	1341	442
752	1343	440
753	1345	439
754	1347	437
755	1349	435
756	1351	433
757	1353	431
758	1354	430
759	1356	428
760	1358	426
761	1359	424
762	1360	422
763	1362	420
764	1364	419
765	1365	417
766	1367	415
767	1368	413
768	1370	411
769	1371	409
770	1373	407
771	1375	406
772	1376	404
773	1378	402
774	1379	400
775	1380	398
776	1382	396
777	1383	394
778	1385	393
779	1386	391
780	1388	389
781	1390	387
782	1391	385
783	1393	383
784	1394	381
785	1396	380
786	1398	378
787	1399	376
788	1401	374
789	1402	372
790	1404	370
791	1405	369
792	1407	367
793	1408	365
794	1409	363
795	1410	361
796	1412	359
797	1413	357
798	1415	356
799	1416	354
800	1418	352
801	1419	350
802	1420	348
803	1422	346
804	1424	344
805	1425	343
806	1427	341
807	1428	339
808	1430	337
809	1431	335
810	1433	334
811	1434	332
812	1436	330
813	1438	328
814	1439	326
815	1440	324
816	1442	323
817	1443	321
818	1445	319
819	1446	317
820	1448	315
821	1449	313
822	1450	312
823	1452	310
824	1453	308
825	1455	306
826	1456	304
827	1458	302
828	1459	301
829	1461	299
830	1462	297
831	1464	295
832	1465	293
833	1466	291
834	1468	290
835	1469	288
836	1470	286
837	1472	284
838	1473	282
839	1475	281
840	1476	279
841	1478	277
842	1479	275
843	1481	273
844	1482	272
845	1484	270
